service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
expl-11_DIMANCHE,0,0,0,0,0,0,1,20251116,20251116
expl-11_SAMEDI,0,0,0,0,0,1,0,20251115,20251115
expl-11_VENDREDI,0,0,0,0,1,0,0,20251114,20251114
expl-12_DIMANCHE,0,0,0,0,0,0,1,20251123,20251123
expl-12_JEUDI,0,0,0,1,0,0,0,20251120,20251120
expl-12_LUNDI,1,0,0,0,0,0,0,20251117,20251117
expl-12_MARDI,0,1,0,0,0,0,0,20251118,20251118
expl-12_MERCREDI,0,0,1,0,0,0,0,20251119,20251119
expl-12_SAMEDI,0,0,0,0,0,1,0,20251122,20251122
expl-12_VENDREDI,0,0,0,0,1,0,0,20251121,20251121
gen-1b7619186a,0,0,1,0,0,0,0,20251126,20251210
gen-1f5933422d,0,0,0,0,0,0,1,20251130,20251214
gen-2840647534,0,1,0,0,0,0,0,20251125,20251209
gen-480a4f3417,0,0,1,0,0,0,0,20251112,20251210
gen-480d4b2c2e,0,0,0,0,0,1,0,20251129,20251213
gen-4a1c0e4b2e,0,0,0,1,0,0,0,20251113,20251211
gen-567e7c5e15,0,0,0,0,1,0,0,20251128,20251212
gen-695138544b,1,0,0,0,0,0,0,20251110,20251215
gen-6d0d067280,1,0,0,0,0,0,0,20251124,20251215
prog-00000000001,0,0,0,0,0,0,1,20251116,20251214
prog-00000000002,1,0,0,0,0,0,0,20251110,20251215
prog-00000000003,0,1,0,0,0,0,0,20251111,20251209
prog-00000000004,0,0,0,1,0,0,0,20251113,20251211
prog-00000000005,0,0,0,0,1,0,0,20251114,20251212
prog-00000000006,0,0,1,0,0,0,0,20251112,20251210
prog-00000000007,0,0,0,0,0,1,0,20251115,20251213
prog-00000000011,0,0,0,0,0,0,1,20251207,20251207
prog-00000000012,0,0,0,1,0,0,0,20251204,20251204
prog-00000000013,0,0,0,0,0,1,0,20251206,20251206
prog-00000000014,0,0,0,0,1,0,0,20251205,20251205
prog-00000000015,0,1,0,0,0,0,0,20251111,20251111
prog-00000000021,1,0,0,0,0,0,0,20251110,20251110
prog-00000000022,1,0,0,0,0,0,0,20251110,20251110
prog-00000000027,0,0,1,0,0,0,0,20251112,20251112
prog-00000000028,0,0,1,0,0,0,0,20251112,20251112
prog-00000000032,0,0,0,0,0,0,1,20251116,20251214
prog-00000000033,0,0,0,1,0,0,0,20251113,20251211
prog-00000000034,0,0,0,0,1,0,0,20251114,20251212
prog-00000000035,1,0,0,0,0,0,0,20251110,20251215
prog-00000000036,0,1,0,0,0,0,0,20251111,20251209
prog-00000000037,0,0,1,0,0,0,0,20251112,20251210
prog-00000000038,0,0,0,0,0,1,0,20251115,20251213
prog-00000000039,0,0,0,0,0,0,1,20251116,20251214
prog-00000000040,1,1,0,1,1,0,0,20251110,20251215
prog-00000000041,0,0,0,0,1,0,0,20251114,20251212
prog-00000000042,0,1,0,0,0,0,0,20251111,20251111
prog-00000000043,0,0,1,0,0,0,0,20251112,20251210
prog-00000000044,0,0,1,0,0,0,0,20251112,20251210
prog-00000000045,0,0,0,0,0,1,0,20251115,20251213
prog-00000000046,0,0,0,0,0,1,0,20251213,20251213
prog-00000000047,0,0,0,0,0,1,0,20251213,20251213
prog-00000000051,0,1,0,0,0,0,0,20251111,20251111
prog-00000000053,0,0,0,0,0,0,1,20251207,20251207
prog-00000000054,0,0,0,1,0,0,0,20251204,20251204
prog-00000000055,0,0,0,0,0,1,0,20251206,20251206
prog-00000000056,0,0,0,0,1,0,0,20251205,20251205
prog-00000000074,0,0,0,1,0,0,0,20251113,20251211
prog-00000000075,0,0,0,1,0,0,0,20251113,20251211
prog-00000000076,1,0,0,0,0,0,0,20251110,20251215
prog-00000000077,1,0,0,0,0,0,0,20251110,20251215
prog-00000000078,0,1,0,0,0,0,0,20251118,20251209
prog-00000000079,0,1,0,0,0,0,0,20251118,20251209
prog-00000000080,0,0,1,0,0,0,0,20251112,20251210
prog-00000000081,0,0,1,0,0,0,0,20251112,20251210
prog-00000000082,0,0,0,0,1,0,0,20251114,20251212
prog-00000000083,0,0,0,0,1,0,0,20251114,20251212
