route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6-1001,prog-00000000002,00000000001,La Poterie,,0,a-1.4051945,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001001,La Poterie,,0,a-1.4051996,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002001,La Poterie,,0,a-1.4052047,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003013,La Poterie,,0,a-1.4052100,1001-A-5001-5015,1,0
6-1001,prog-00000000005,00000004039,La Poterie,,0,a-1.4052151,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005591,La Poterie,,0,a-1.4152989,1001-A-5001-5015,1,0
6-1001,prog-00000000002,00000000002,La Poterie,,0,a-2.4051949,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001002,La Poterie,,0,a-2.4052000,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002002,La Poterie,,0,a-2.4052051,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003014,La Poterie,,0,a-2.4052103,1001-A-5001-5015,1,0
6-1001,prog-00000000005,00000004040,La Poterie,,0,a-2.4052154,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005592,La Poterie,,0,a-2.4152991,1001-A-5001-5015,1,0
6-1001,prog-00000000002,00000000003,La Poterie,,0,a-3.4051952,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001003,La Poterie,,0,a-3.4052003,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002003,La Poterie,,0,a-3.4052054,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003015,La Poterie,,0,a-3.4052106,1001-A-5001-5015,1,0
6-1001,prog-00000000005,00000004041,La Poterie,,0,a-3.4052157,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005593,La Poterie,,0,a-3.4152993,1001-A-5001-5015,1,0
6-1001,prog-00000000002,00000000004,La Poterie,,0,a-4.4051955,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001004,La Poterie,,0,a-4.4052006,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002004,La Poterie,,0,a-4.4052057,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003016,La Poterie,,0,a-4.4052109,1001-A-5001-5015,1,0
6-1001,prog-00000000005,00000004042,La Poterie,,0,a-4.4052160,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005594,La Poterie,,0,a-4.4152995,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005596,La Poterie,,0,a-5.4152990,1001-A-5001-5015,1,0
6-1001,prog-00000000002,00000000006,La Poterie,,0,a-5.4051947,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001006,La Poterie,,0,a-5.4051998,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002006,La Poterie,,0,a-5.4052050,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003018,La Poterie,,0,a-5.4052102,1001-A-5001-5015,1,0
6-1001,prog-00000000005,00000004044,La Poterie,,0,a-5.4052153,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005598,La Poterie,,0,a-6.4152992,1001-A-5001-5015,1,0
6-1001,prog-00000000002,00000000008,La Poterie,,0,a-6.4051951,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001008,La Poterie,,0,a-6.4052002,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002008,La Poterie,,0,a-6.4052053,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003020,La Poterie,,0,a-6.4052105,1001-A-5001-5015,1,0
6-1001,prog-00000000005,00000004046,La Poterie,,0,a-6.4052156,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005600,La Poterie,,0,a-7.4152994,1001-A-5001-5015,1,0
6-1001,prog-00000000002,00000000010,La Poterie,,0,a-7.4051953,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001010,La Poterie,,0,a-7.4052004,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002010,La Poterie,,0,a-7.4052055,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003022,La Poterie,,0,a-7.4052107,1001-A-5001-5015,1,0
6-1001,prog-00000000005,00000004048,La Poterie,,0,a-7.4052158,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005602,La Poterie,,0,a-8.4152996,1001-A-5001-5015,1,0
6-1001,prog-00000000002,00000000012,La Poterie,,0,a-8.4051957,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001012,La Poterie,,0,a-8.4052008,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002012,La Poterie,,0,a-8.4052058,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003024,La Poterie,,0,a-8.4052110,1001-A-5001-5015,1,0
6-1001,prog-00000000005,00000004050,La Poterie,,0,a-8.4052161,1001-A-5001-5015,1,0
6-1001,prog-00000000007,00000005604,La Poterie,,0,a-1.4152989,1001-A-5001-5015,1,0
6-1001,prog-00000000002,00000000014,La Poterie,,0,a-1.4051945,1001-A-5001-5015,1,0
6-1001,prog-00000000003,00000001014,La Poterie,,0,a-1.4051996,1001-A-5001-5015,1,0
6-1001,prog-00000000006,00000002014,La Poterie,,0,a-1.4052047,1001-A-5001-5015,1,0
6-1001,prog-00000000004,00000003026,La Poterie,,0,a-1.4052100,1001-A-5001-5015,1,0
