Identifiant;Date de début de version;Date de fin de version;Est la version active;Code;Nom;Commune (code INSEE);Commune (nom);Coordonnées;Accessible aux PMR;Mobilier;Visibilité;Stopid gtfs/gtfs-rt
1002;2024-09-02;;Oui;1002;Bouzat;35238;Rennes;48.128276, -1.637811;true;Abri simple;Grand public;6-1002
1012;2024-09-02;;Oui;1012;Sévigné;35238;Rennes;48.116032, -1.674241;true;Abri simple;Grand public;6-1012
1014;2022-10-28;;Oui;1014;Bertrand;35238;Rennes;48.113739, -1.679038;true;Poteau;Grand public;6-1014
1017;2024-07-08;;Oui;1017;La Criée;35238;Rennes;48.108412, -1.680208;false;Poteau;Grand public;6-1017
1020;2022-10-24;;Oui;1020;Mermoz;35238;Rennes;48.097428, -1.689588;true;Abri simple;Grand public;6-1020
1022;2024-07-08;;Oui;1022;Colombier;35238;Rennes;48.105898, -1.68169;true;Abri simple;Grand public;6-1022
1029;2024-09-02;;Oui;1029;Jules Ferry;35238;Rennes;48.118224, -1.671037;true;Abri double;Grand public;6-1029
1034;2024-09-02;;Oui;1034;Turmel;35238;Rennes;48.122169, -1.650637;true;Abri platine;Grand public;6-1034
1036;2024-09-02;;Oui;1036;Donzelot;35238;Rennes;48.125575, -1.64197;true;Abri simple;Grand public;6-1036
1037;2024-09-02;;Oui;1037;Gallet;35238;Rennes;48.127801, -1.639871;true;Abri simple;Grand public;6-1037
1043;2024-09-02;;Oui;1043;Saint-Martin;35238;Rennes;48.123605, -1.684264;true;Abri auvent;Grand public;6-1043
1049;2024-09-02;;Oui;1049;Horizons;35238;Rennes;48.111644, -1.689347;true;Abri simple;Grand public;6-1049
1069;2019-08-18;;Oui;1069;Ronceray;35238;Rennes;48.092765, -1.639647;true;Abri simple;Grand public;6-1069
1073;2015-08-31;;Oui;1073;Ronceray;35238;Rennes;48.092525, -1.639646;true;Abri simple;Grand public;6-1073
1074;2015-08-31;;Oui;1074;Gohier;35238;Rennes;48.09183, -1.636243;true;Abri simple;Grand public;6-1074
1075;2015-08-31;;Oui;1075;Bourgueil;35238;Rennes;48.089476, -1.635582;true;Abri simple;Grand public;6-1075
1078;2015-08-31;;Oui;1078;Lycée Descartes;35238;Rennes;48.089988, -1.64467;true;Abri simple;Grand public;6-1078
1082;2015-08-31;;Oui;1082;Piré;35238;Rennes;48.099882, -1.657795;true;Abri auvent;Grand public;6-1082
1085;2025-03-17;;Oui;1085;Laënnec;35238;Rennes;48.104704, -1.666749;true;Abri auvent;Grand public;6-1085
1097;2024-09-02;;Oui;1097;Pierre Legrand;35238;Rennes;48.122048, -1.685863;true;Abri simple;Grand public;6-1097
1103;2023-08-01;;Oui;1103;Saint-Laurent;35238;Rennes;48.138806, -1.659102;true;Abri simple;Grand public;6-1103
1108;2022-10-24;;Oui;1108;Parc Gayeulles;35238;Rennes;48.128325, -1.652224;true;Abri simple;Grand public;6-1108
1006;2024-09-02;;Oui;1006;Turmel;35238;Rennes;48.122292, -1.650752;true;Abri simple;Grand public;6-1006
1122;2023-02-27;;Oui;1122;Gare Sud Féval;35238;Rennes;48.102966, -1.676761;true;Abri simple;Grand public;6-1122
1010;2024-09-02;;Oui;1010;Guéhenno;35238;Rennes;48.119226, -1.667709;true;Abri simple;Grand public;6-1010
1128;2023-08-01;;Oui;1128;Champs Manceaux;35238;Rennes;48.091043, -1.682184;true;Abri simple;Grand public;6-1128
1019;2025-01-06;;Oui;1019;Cité Judiciaire;35238;Rennes;48.105027, -1.684718;true;Abri double;Grand public;6-1019
1129;2023-08-01;;Oui;1129;Suède;35238;Rennes;48.08725, -1.682469;true;Abri simple;Grand public;6-1129
1021;2022-10-24;;Oui;1021;Cité Judiciaire;35238;Rennes;48.105207, -1.684318;true;Abri simple;Grand public;6-1021
1130;2022-10-24;;Oui;1130;Canada;35238;Rennes;48.085145, -1.682532;true;Abri simple;Grand public;6-1130
1032;2024-09-02;;Oui;1032;Painlevé;35238;Rennes;48.123236, -1.659237;true;Abri simple;Grand public;6-1032
1139;2015-08-31;;Oui;1139;Sacrés Coeurs;35238;Rennes;48.096922, -1.678457;true;Abri simple;Grand public;6-1139
1035;2024-09-02;;Oui;1035;Mirabeau;35238;Rennes;48.123692, -1.645137;true;Abri simple;Grand public;6-1035
1149;2023-08-01;;Oui;1149;Durafour;35238;Rennes;48.114248, -1.658666;false;Poteau;Grand public;6-1149
1048;2024-09-02;;Oui;1048;Brest Verdun;35238;Rennes;48.113316, -1.693473;true;Abri double;Grand public;6-1048
1161;2025-01-02;;Oui;1161;Plaine de Baud;35238;Rennes;48.112228, -1.644207;true;Abri simple;Grand public;6-1161
1057;2025-03-17;;Oui;1057;Laënnec;35238;Rennes;48.104729, -1.667062;false;Abri simple;Grand public;6-1057
1167;2022-10-24;;Oui;1167;République;35238;Rennes;48.109398, -1.678792;true;Abri simple;Grand public;6-1167
1060;2022-10-24;;Oui;1060;Piré;35238;Rennes;48.09944, -1.657499;true;Abri simple;Grand public;6-1060
1171;2024-02-12;;Oui;1171;Pont de Châteaudun;35238;Rennes;48.110019, -1.663592;true;Abri simple;Grand public;6-1171
1064;2017-04-18;;Oui;1064;Lycée Descartes;35238;Rennes;48.090301, -1.645018;true;Abri simple;Grand public;6-1064
1183;2025-09-01;;Oui;1183;Hôtel Dieu;35238;Rennes;48.117342, -1.678821;true;Abri simple;Grand public;6-1183
1066;2019-08-18;;Oui;1066;Monnet;35238;Rennes;48.087802, -1.638575;true;Abri simple;Grand public;6-1066
1191;2022-10-24;;Oui;1191;Languedoc;35238;Rennes;48.115476, -1.704469;true;Abri simple;Grand public;6-1191
1079;2015-08-31;;Oui;1079;Monsieur Vincent;35238;Rennes;48.092782, -1.647229;true;Abri simple;Grand public;6-1079
1212;2016-08-29;;Oui;1212;Mouézy;35238;Rennes;48.10195, -1.656566;true;Abri simple;Grand public;6-1212
1081;2015-08-31;;Oui;1081;Bourgeois;35238;Rennes;48.09805, -1.65533;true;Abri platine;Grand public;6-1081
1218;2024-07-08;;Oui;1218;Guilloux Lorient;35238;Rennes;48.109043, -1.698077;true;Abri simple;Grand public;6-1218
1096;2025-09-01;;Oui;1096;Anatole France;35238;Rennes;48.118212, -1.689241;true;Abri simple;Grand public;6-1096
1226;2002-01-01;;Oui;1226;Servigné;35238;Rennes;48.101258, -1.731769;true;Poteau;Grand public;6-1226
1112;2022-10-24;;Oui;1112;Vitré Danton;35238;Rennes;48.118917, -1.651101;true;Abri simple;Grand public;6-1112
1229;2023-01-01;;Oui;1229;Servigné;35238;Rennes;48.101185, -1.731611;true;Abri simple;Grand public;6-1229
1113;2022-10-24;;Oui;1113;Jeanne d'Arc;35238;Rennes;48.11635, -1.655685;true;Abri simple;Grand public;6-1113
1234;2017-09-04;;Oui;1234;Roazhon Park;35238;Rennes;48.107699, -1.71477;true;Abri simple;Grand public;6-1234
1115;2022-10-24;;Oui;1115;Oberthur;35238;Rennes;48.113443, -1.661429;true;Abri simple;Grand public;6-1115
1239;2022-10-24;;Oui;1239;Chèques Postaux;35238;Rennes;48.108237, -1.694247;true;Abri auvent;Grand public;6-1239
1123;2017-04-18;;Oui;1123;Ginguené;35238;Rennes;48.099081, -1.675714;true;Abri auvent;Grand public;6-1123
1240;2002-01-01;;Oui;1240;Le Mail;35238;Rennes;48.109257, -1.689687;true;Abri simple;Grand public;6-1240
1125;2023-08-01;;Oui;1125;Sacrés Coeurs;35238;Rennes;48.096917, -1.679193;true;Abri simple;Grand public;6-1125
1247;2002-01-01;;Oui;1247;Pavie;35238;Rennes;48.104868, -1.643656;true;Poteau;Grand public;6-1247
1127;2023-08-01;;Oui;1127;Frères Moine;35238;Rennes;48.093024, -1.68192;true;Abri simple;Grand public;6-1127
1252;2023-08-01;;Oui;1252;Patton;35238;Rennes;48.138762, -1.666012;true;Abri simple;Grand public;6-1252
1140;2023-02-27;;Oui;1140;Jacques Cartier;35238;Rennes;48.097442, -1.674312;true;Abri auvent;Grand public;6-1140
1255;2022-10-24;;Oui;1255;Condate;35238;Rennes;48.134457, -1.673089;true;Abri simple;Grand public;6-1255
1144;2022-10-28;;Oui;1144;République Jaurès;35238;Rennes;48.110092, -1.677746;true;Abri platine;Grand public;6-1144
1256;2022-10-24;;Oui;1256;Bellangerais;35238;Rennes;48.132604, -1.671592;true;Abri simple;Grand public;6-1256
1150;2023-08-01;;Oui;1150;Jeanne d'Arc;35238;Rennes;48.116606, -1.655385;true;Abri auvent;Grand public;6-1150
1261;2022-10-24;;Oui;1261;Volney;35238;Rennes;48.1241, -1.668145;true;Abri simple;Grand public;6-1261
1155;2023-08-01;;Oui;1155;Parc Gayeulles;35238;Rennes;48.129164, -1.652011;true;Abri simple;Grand public;6-1155
