date;tranche_horaire;id_arret;nom_commune;id_ligne;sens;freq
2025-03-14;17:15:00;2344;Bruz;7;Retour;2.35294
2025-04-27;15:45:00;3758;Vezin-le-Coquet;53;Retour;3.52941
2025-08-31;19:15:00;5063;Saint-Jacques-de-la-Lande;1002;Indéterminé;1.11111
2024-12-17;09:15:00;4053;La Chapelle-des-Fougeretz;52;Aller;1.17647
2025-03-25;17:45:00;3119;Pacé;52;Retour;1.17647
2025-08-14;16:45:00;2902;Chartres-de-Bretagne;59;Aller;2.35294
2025-01-16;14:45:00;2863;Saint-Grégoire;12;Retour;1.17647
2024-11-27;12:00:00;4252;La Chapelle-Thouarault;53;Retour;3.52941
2025-08-08;14:30:00;4607;Chevaigné;71;Aller;8.23529
2025-04-22;06:45:00;4204;Chavagne;156;Retour;9.41176
2025-04-04;16:15:00;2404;Betton;51;Aller;1.17647
2025-01-09;07:15:00;3317;Thorigné-Fouillard;64;Aller;2.35294
2024-10-23;14:45:00;2036;Cesson-Sévigné;11;Retour;1.17647
2025-06-28;13:15:00;5050;Cesson-Sévigné;1002;Indéterminé;31.11111
2025-03-05;16:45:00;2539;Le Rheu;76;Aller;2.35294
2025-08-29;16:15:00;2522;Le Rheu;56;Retour;2.35294
2025-01-07;18:00:00;3111;Pacé;77;Retour;2.35294
2025-08-09;11:45:00;3755;Vezin-le-Coquet;53;Retour;1.17647
2025-01-22;06:45:00;4252;La Chapelle-Thouarault;153;Retour;1.17647
2025-01-14;10:00:00;2803;Saint-Grégoire;12;Retour;1.17647
2025-04-24;23:30:00;2817;Saint-Grégoire;1;Aller;2.35294
2024-09-23;11:45:00;2237;Saint-Jacques-de-la-Lande;13;Retour;1.17647
2025-06-03;16:45:00;4252;La Chapelle-Thouarault;53;Retour;1.17647
2025-03-04;16:15:00;2842;Saint-Grégoire;1;Aller;2.35294
2025-04-24;08:15:00;4850;La Chapelle-Chaussée;82;Retour;9.41176
2024-12-18;06:45:00;2410;Betton;71;Aller;1.17647
2025-06-12;12:15:00;2603;Vern-sur-Seiche;73;Retour;4.70588
2025-02-10;18:15:00;6004;Romillé;81;Retour;3.52941
2025-08-13;08:00:00;4069;La Chapelle-des-Fougeretz;52;Aller;2.35294
2025-05-26;16:00:00;2722;Noyal-Châtillon-sur-Seiche;61;Aller;2.35294
2025-08-13;16:15:00;4460;Clayes;81;Retour;1.17647
2025-03-31;13:15:00;2842;Saint-Grégoire;1;Aller;4.70588
2025-05-28;16:15:00;3007;Chantepie;1;Retour;10.58824
2025-04-03;11:30:00;3111;Pacé;77;Retour;1.17647
2025-01-07;10:45:00;2017;Cesson-Sévigné;6;Aller;4.70588
2025-03-25;17:00:00;3752;Vezin-le-Coquet;54;Retour;12.94118
2025-08-11;07:30:00;4708;Laillé;80;Retour;1.17647
2025-06-24;12:00:00;2017;Cesson-Sévigné;67;Aller;12.94118
2025-08-30;11:30:00;3023;Chantepie;13;Aller;2.35294
2025-06-21;07:45:00;65501;Non identifiée;9999;Indéterminé;15.29412
2024-12-24;15:45:00;2314;Bruz;13;Retour;1.17647
2025-01-29;08:45:00;2546;Le Rheu;154;Retour;1.17647
2025-08-04;17:30:00;3705;Saint-Gilles;52;Retour;1.17647
2025-05-05;18:30:00;65501;Non identifiée;9999;Indéterminé;8.23529
2025-08-10;16:45:00;2277;Saint-Jacques-de-la-Lande;6;Retour;10.58824
2024-11-15;17:45:00;2406;Betton;83;Retour;1.17647
2024-10-05;09:30:00;2206;Saint-Jacques-de-la-Lande;7;Retour;3.52941
2025-01-22;13:15:00;2506;Le Rheu;54;Retour;2.35294
2025-01-29;18:00:00;2036;Cesson-Sévigné;11;Retour;1.17647
2024-11-06;20:00:00;2002;Cesson-Sévigné;64;Retour;4.70588
2025-08-01;17:30:00;2035;Cesson-Sévigné;34;Retour;3.52941
2025-06-05;18:15:00;2213;Saint-Jacques-de-la-Lande;6;Aller;2.35294
2024-10-11;14:30:00;2816;Saint-Grégoire;1;Retour;1.17647
2024-12-13;09:15:00;2017;Cesson-Sévigné;6;Aller;2.35294
2024-10-16;10:45:00;3756;Vezin-le-Coquet;53;Retour;1.17647
2024-10-29;16:45:00;3816;Saint-Armel;73;Retour;2.35294
2025-03-17;19:45:00;2353;Bruz;7;Retour;2.35294
2025-03-11;16:30:00;3503;Montgermont;52;Aller;4.70588
2024-12-16;11:30:00;2815;Saint-Grégoire;14;Retour;5.88235
2025-04-08;07:45:00;2774;Noyal-Châtillon-sur-Seiche;61;Retour;1.17647
2025-07-23;12:45:00;4018;Acigné;64;Aller;1.17647
2025-03-14;22:00:00;2281;Saint-Jacques-de-la-Lande;7;Aller;32.94118
2024-12-10;08:30:00;2774;Noyal-Châtillon-sur-Seiche;161;Retour;3.52941
2024-09-30;11:30:00;2811;Saint-Grégoire;78;Retour;1.17647
2025-06-10;18:00:00;3305;Thorigné-Fouillard;50;Aller;1.17647
2025-07-08;09:00:00;2542;Le Rheu;76;Retour;2.35294
2025-08-08;10:30:00;3757;Vezin-le-Coquet;53;Retour;4.70588
2025-06-16;07:15:00;4019;Acigné;64;Aller;7.05882
2025-04-02;10:00:00;3021;Chantepie;13;Retour;1.17647
2024-12-27;20:00:00;2609;Vern-sur-Seiche;62;Retour;11.76471
2025-08-20;13:45:00;2277;Saint-Jacques-de-la-Lande;6;Retour;1.17647
2025-05-20;16:45:00;9999;Non identifiée;9999;Indéterminé;25.88235
2025-04-03;07:30:00;2236;Saint-Jacques-de-la-Lande;13;Retour;2.35294
2025-02-24;19:00:00;2015;Cesson-Sévigné;6;Aller;2.35294
2025-02-24;11:30:00;2240;Saint-Jacques-de-la-Lande;7;Retour;1.17647
2024-09-13;09:45:00;3037;Chantepie;13;Aller;3.52941
2025-03-06;07:30:00;2079;Cesson-Sévigné;64;Aller;2.35294
2025-07-16;18:30:00;2816;Saint-Grégoire;78;Retour;3.52941
2025-02-14;19:15:00;3002;Chantepie;1;Retour;2.35294
2025-06-11;14:45:00;2863;Saint-Grégoire;14;Aller;2.35294
2024-12-14;16:00:00;5050;Cesson-Sévigné;1002;Indéterminé;150.00001
2025-07-04;17:15:00;2026;Cesson-Sévigné;6;Retour;1.17647
2024-09-03;18:15:00;2057;Cesson-Sévigné;34;Aller;1.17647
2024-09-09;07:00:00;2502;Le Rheu;154;Retour;4.70588
2025-02-04;08:15:00;2314;Bruz;13;Retour;1.17647
2025-06-23;14:00:00;2291;Saint-Jacques-de-la-Lande;6;Aller;3.52941
2025-01-27;09:15:00;2801;Saint-Grégoire;4;Retour;4.70588
2025-07-12;10:45:00;2805;Saint-Grégoire;1;Aller;1.17647
2025-04-25;15:15:00;9999;Non identifiée;14;Retour;5.88235
2025-08-10;14:15:00;2407;Betton;51;Aller;5.88235
2024-12-23;10:30:00;3769;Vezin-le-Coquet;11;Retour;1.17647
2024-11-28;19:30:00;2035;Cesson-Sévigné;11;Aller;1.17647
2025-06-02;07:15:00;4358;Saint-Erblon;61;Retour;2.35294
2025-08-20;21:00:00;2603;Vern-sur-Seiche;73;Retour;1.17647
2025-07-28;17:45:00;2015;Cesson-Sévigné;14;Aller;1.17647
2025-04-11;19:30:00;2826;Saint-Grégoire;12;Aller;1.17647
2025-01-02;18:00:00;2406;Betton;51;Aller;1.17647
2025-07-16;07:30:00;2505;Le Rheu;54;Retour;4.70588
2025-03-13;08:00:00;4507;Gévezé;68;Aller;2.35294
2024-09-30;17:15:00;2289;Saint-Jacques-de-la-Lande;13;Retour;1.17647
2024-11-26;08:00:00;3315;Thorigné-Fouillard;83;Aller;3.52941
2025-07-23;15:15:00;2517;Le Rheu;76;Aller;1.17647
2024-12-14;17:15:00;2905;Chartres-de-Bretagne;72;Retour;2.35294
2025-06-25;07:45:00;2057;Cesson-Sévigné;67;Aller;3.21176
2025-04-01;06:45:00;2343;Bruz;47;Retour;3.52941
2024-09-19;15:15:00;4554;Saint-Armel;73;Retour;1.17647
2025-01-07;16:45:00;2815;Saint-Grégoire;1;Aller;8.23529
2024-12-04;16:30:00;2214;Saint-Jacques-de-la-Lande;6;Retour;7.05882
2025-04-22;16:15:00;2619;Vern-sur-Seiche;73;Aller;20.0
2025-04-18;13:15:00;2854;Saint-Grégoire;12;Retour;1.17647
2025-06-19;12:15:00;2801;Saint-Grégoire;4;Retour;9.41176
2024-12-23;14:45:00;2289;Saint-Jacques-de-la-Lande;13;Retour;2.35294
2024-12-20;13:15:00;3006;Chantepie;34;Retour;1.17647
2025-05-31;20:30:00;3260;Orgères;74;Retour;1.17647
2025-02-08;19:30:00;2245;Saint-Jacques-de-la-Lande;7;Aller;2.35294
2024-10-17;12:15:00;3717;Saint-Gilles;52;Retour;3.52941
2025-01-27;14:15:00;3006;Chantepie;13;Aller;3.52941
2024-10-14;11:45:00;2218;Saint-Jacques-de-la-Lande;5;Aller;1.17647
2024-09-24;11:30:00;2860;Saint-Grégoire;52;Retour;2.35294
2025-05-30;06:45:00;2376;Bruz;7;Retour;2.35294
2025-03-08;17:00:00;2007;Cesson-Sévigné;34;Retour;2.35294
2024-10-02;16:00:00;2803;Saint-Grégoire;14;Aller;3.52941
2025-08-28;09:45:00;3037;Chantepie;13;Aller;4.70588
2024-11-13;06:00:00;4210;Chavagne;56;Retour;1.17647
2024-09-25;15:15:00;3853;Mordelles;55;Retour;1.17647
2025-08-19;18:15:00;3855;Mordelles;55;Retour;2.35294
2024-09-25;10:30:00;2915;Chartres-de-Bretagne;72;Retour;2.35294
2024-10-23;08:15:00;2263;Saint-Jacques-de-la-Lande;6;Retour;1.17647
2024-11-27;09:45:00;4358;Saint-Erblon;61;Retour;1.17647
2024-12-29;17:15:00;2010;Cesson-Sévigné;6;Aller;4.70588
2025-05-14;17:45:00;3852;Mordelles;76;Retour;1.17647
2025-02-26;17:30:00;3765;Vezin-le-Coquet;53;Aller;1.17647
2025-08-29;11:45:00;2021;Cesson-Sévigné;6;Retour;1.17647
2025-08-17;19:30:00;2281;Saint-Jacques-de-la-Lande;7;Aller;12.94118
2024-11-17;20:30:00;2417;Betton;71;Retour;1.17647
2025-03-18;17:15:00;9999;Non identifiée;75;Retour;1.17647
2025-05-22;07:45:00;4508;Gévezé;68;Aller;1.17647
2025-06-02;23:45:00;5064;Saint-Jacques-de-la-Lande;1002;Indéterminé;4.44444
2024-11-17;14:45:00;3757;Vezin-le-Coquet;53;Retour;1.17647
2025-02-01;18:45:00;2803;Saint-Grégoire;14;Aller;2.68235
2025-02-27;16:00:00;2063;Cesson-Sévigné;67;Retour;1.17647
2025-04-30;15:15:00;2376;Bruz;7;Retour;1.17647
2025-08-22;08:30:00;2804;Saint-Grégoire;1;Aller;2.35294
2025-07-04;09:00:00;2722;Noyal-Châtillon-sur-Seiche;61;Aller;1.17647
2025-02-03;10:15:00;2257;Saint-Jacques-de-la-Lande;5;Retour;4.70588
2025-06-10;07:45:00;2854;Saint-Grégoire;14;Aller;1.17647
2025-04-08;08:45:00;4210;Chavagne;56;Retour;1.17647
