id_ligne;id_arret;stop_name;day_type;first_passage;last_passage;avg_passage_per_day;early birds;morning commute;late morning;lunch time;afternoon;evening commute;evening;night;amplitude_horaire;amplitude_horaire_heures;avg_passage_per_hour
0001;2804;Ricoquais;weekday;0 days 05:18:00;1 days 01:02:00;99.4;6.0;21.0;12.0;12.0;19.0;20.0;5.0;4.4;0 days 19:44:00;19.733333333333334;5.037162162162162
0001;2804;Ricoquais;weekend;0 days 05:58:00;1 days 01:02:00;52.5;2.0;7.0;5.5;6.5;12.0;11.0;5.0;4.5;0 days 19:04:00;19.066666666666666;2.7534965034965033
0001;2805;Camus;weekday;0 days 05:19:00;1 days 01:02:21;99.4;6.0;21.0;12.0;12.0;19.0;20.0;5.0;4.4;0 days 19:43:21;19.7225;5.039929015084295
0001;2805;Camus;weekend;0 days 05:59:00;1 days 01:02:21;52.5;2.0;7.0;5.5;6.5;12.0;11.0;5.0;4.5;0 days 19:03:21;19.055833333333332;2.755061879564438
0001;2806;Vivier Louis;weekday;0 days 05:20:00;1 days 01:03:00;99.4;6.0;21.0;12.0;12.0;19.0;19.0;6.0;4.4;0 days 19:43:00;19.716666666666665;5.041420118343196
0001;2806;Vivier Louis;weekend;0 days 06:00:00;1 days 01:03:00;52.5;2.0;7.0;5.5;6.5;12.0;11.0;5.0;4.5;0 days 19:03:00;19.05;2.7559055118110236
0001;2808;Uttenreuth;weekday;0 days 05:21:00;1 days 01:04:00;99.4;6.0;20.0;12.0;12.0;20.0;19.0;6.0;4.4;0 days 19:43:00;19.716666666666665;5.041420118343196
0001;2808;Uttenreuth;weekend;0 days 06:01:00;1 days 01:04:00;52.5;2.0;7.0;5.5;6.5;12.0;11.0;5.0;4.5;0 days 19:03:00;19.05;2.7559055118110236
0001;2809;Discalceat;weekday;0 days 05:21:51;1 days 01:04:14;99.4;5.5;20.5;12.0;12.0;20.0;19.0;6.0;4.4;0 days 19:42:23;19.70638888888889;5.044049448148514
0001;2809;Discalceat;weekend;0 days 06:01:51;1 days 01:04:14;52.5;2.0;7.0;5.5;6.0;12.0;11.5;5.0;4.5;0 days 19:02:23;19.039722222222224;2.7573931692514186
0001;2812;Forge;weekday;0 days 05:23:00;1 days 01:05:00;99.4;5.0;21.0;12.0;12.0;19.0;20.0;6.0;4.4;0 days 19:42:00;19.7;5.0456852791878175
0001;2812;Forge;weekend;0 days 06:03:00;1 days 01:05:00;52.5;2.0;7.0;5.5;6.0;12.0;11.5;5.0;4.5;0 days 19:02:00;19.033333333333335;2.7583187390542903
0001;2813;Haut Trait;weekday;0 days 05:23:43;1 days 01:06:00;99.4;5.0;21.0;12.0;12.0;19.0;20.0;6.0;4.4;0 days 19:42:17;19.704722222222223;5.0444760844129295
0001;2813;Haut Trait;weekend;0 days 06:03:43;1 days 01:06:00;52.5;2.0;7.0;5.5;6.0;12.0;11.5;5.0;4.5;0 days 19:02:17;19.038055555555555;2.7576345623531817
0001;2814;CHP Saint-Grégoire;weekday;0 days 06:00:50;1 days 01:51:00;100.9;3.0;20.5;12.0;12.0;17.0;23.0;8.0;5.4;0 days 19:50:10;19.836111111111112;5.0866825374597395
0001;2814;CHP Saint-Grégoire;weekend;0 days 06:40:50;1 days 01:51:00;52.5;1.0;6.0;5.5;5.5;12.0;11.75;5.75;5.5;0 days 19:10:10;19.169444444444444;2.7387335168816116
0001;2815;La Plesse;weekday;0 days 05:26:00;1 days 01:08:04;99.4;5.0;21.0;12.0;12.0;19.0;20.0;6.0;4.4;0 days 19:42:04;19.70111111111111;5.045400710619819
0001;2815;La Plesse;weekend;0 days 06:06:00;1 days 01:08:04;52.5;2.0;6.5;6.0;6.0;12.0;11.0;5.5;4.5;0 days 19:02:04;19.034444444444443;2.758157725760318
0001;2816;La Plesse;weekday;0 days 05:59:00;1 days 01:49:26;100.9;3.0;20.5;12.0;12.0;17.5;23.5;7.0;5.4;0 days 19:50:26;19.840555555555557;5.085543079550864
0001;2816;La Plesse;weekend;0 days 06:39:00;1 days 01:49:26;52.5;1.0;6.0;5.5;5.5;12.0;12.0;5.5;5.5;0 days 19:10:26;19.17388888888889;2.7380986874511053
0001;2817;CHP Saint-Grégoire;weekday;0 days 05:24:43;1 days 01:07:00;99.4;5.0;21.0;12.0;12.0;19.0;20.0;6.0;4.4;0 days 19:42:17;19.704722222222223;5.0444760844129295
0001;2817;CHP Saint-Grégoire;weekend;0 days 06:04:43;1 days 01:07:00;52.5;2.0;7.0;5.5;6.0;12.0;11.0;5.5;4.5;0 days 19:02:17;19.038055555555555;2.7576345623531817
0001;2818;Haut Trait;weekday;0 days 06:01:56;1 days 01:52:00;100.9;3.0;20.0;12.0;11.5;18.0;23.0;8.0;5.4;0 days 19:50:04;19.834444444444443;5.087109965828246
0001;2818;Haut Trait;weekend;0 days 06:41:56;1 days 01:52:00;52.5;1.0;6.0;5.25;5.75;11.75;11.75;6.0;5.5;0 days 19:10:04;19.16777777777778;2.73897165381717
0001;2819;Forge;weekday;0 days 06:03:00;1 days 01:53:09;100.9;3.0;19.5;12.0;12.0;18.0;23.0;8.0;5.4;0 days 19:50:09;19.835833333333333;5.086753770533126
0001;2819;Forge;weekend;0 days 06:43:00;1 days 01:53:09;52.5;1.0;6.0;5.0;6.0;11.5;12.0;6.0;5.5;0 days 19:10:09;19.169166666666666;2.7387732034951964
0001;2822;Discalceat;weekday;0 days 06:04:00;1 days 01:54:00;100.9;3.0;19.5;12.0;12.0;18.0;23.0;8.0;5.4;0 days 19:50:00;19.833333333333332;5.087394957983194
0001;2822;Discalceat;weekend;0 days 06:44:00;1 days 01:54:00;52.5;1.0;6.0;5.0;5.5;12.0;12.0;6.0;5.5;0 days 19:10:00;19.166666666666668;2.7391304347826084
0001;2824;Vivier Louis;weekday;0 days 06:05:00;1 days 01:56:00;100.9;3.0;19.5;12.0;12.0;18.0;23.0;8.0;5.4;0 days 19:51:00;19.85;5.083123425692695
0001;2824;Vivier Louis;weekend;0 days 06:45:00;1 days 01:56:00;52.5;1.0;5.5;5.5;5.5;12.0;12.0;6.0;5.5;0 days 19:11:00;19.183333333333334;2.736750651607298
0001;2825;Camus;weekday;0 days 06:06:00;1 days 01:57:00;100.9;3.0;19.5;12.0;12.0;18.0;23.0;8.0;5.4;0 days 19:51:00;19.85;5.083123425692695
0001;2825;Camus;weekend;0 days 06:46:00;1 days 01:57:00;52.5;1.0;5.0;6.0;5.5;12.0;12.0;6.0;5.5;0 days 19:11:00;19.183333333333334;2.736750651607298
0001;2836;Uttenreuth;weekday;0 days 06:04:38;1 days 01:55:00;100.9;3.0;19.5;12.0;12.0;18.0;23.0;8.0;5.4;0 days 19:50:22;19.839444444444446;5.085827896166447
0001;2836;Uttenreuth;weekend;0 days 06:44:38;1 days 01:55:00;52.5;1.0;5.75;5.25;5.5;12.0;12.0;6.0;5.5;0 days 19:10:22;19.172777777777778;2.73825736721625
0001;2842;Nobel;weekday;0 days 05:16:53;1 days 01:01:00;99.4;6.0;21.0;12.0;12.0;19.5;19.5;5.0;4.4;0 days 19:44:07;19.735277777777778;5.036665869072586
0001;2842;Nobel;weekend;0 days 05:56:53;1 days 01:01:00;52.5;2.0;7.0;5.5;6.5;12.25;10.75;5.0;4.5;0 days 19:04:07;19.06861111111111;2.7532157268343846
0001;2843;Nobel;weekday;0 days 06:07:58;1 days 01:59:00;100.9;3.0;19.5;12.0;12.0;17.0;24.0;8.0;5.4;0 days 19:51:02;19.850555555555555;5.082981164814867
0001;2843;Nobel;weekend;0 days 06:47:58;1 days 01:59:00;52.5;1.0;5.0;6.0;5.5;12.0;12.0;6.0;5.5;0 days 19:11:02;19.183888888888887;2.7366713967159946
0001;2844;Champ Daguet;weekday;0 days 05:16:00;1 days 02:00:00;200.3;8.0;41.5;24.0;24.0;37.0;43.0;13.0;9.8;0 days 20:44:00;20.733333333333334;9.660771704180064
0001;2844;Champ Daguet;weekend;0 days 05:56:00;1 days 02:00:00;105.0;3.0;12.0;11.5;12.0;24.5;22.5;11.0;10.0;0 days 20:04:00;20.066666666666666;5.232558139534884
0001;2846;Ricoquais;weekday;0 days 06:07:00;1 days 01:58:00;100.9;3.0;19.5;12.0;12.0;17.5;23.5;8.0;5.4;0 days 19:51:00;19.85;5.083123425692695
0001;2846;Ricoquais;weekend;0 days 06:47:00;1 days 01:58:00;52.5;1.0;5.0;6.0;5.5;12.0;12.0;6.0;5.5;0 days 19:11:00;19.183333333333334;2.736750651607298
0001;3001;Gériatrie;weekday;0 days 06:05:00;1 days 01:55:00;105.4;3.0;18.5;12.0;12.1;18.0;28.4;8.0;5.4;0 days 19:50:00;19.833333333333332;5.314285714285715
0001;3001;Gériatrie;weekend;0 days 06:45:00;1 days 01:55:00;52.5;1.0;5.0;6.0;5.5;11.5;12.5;6.0;5.5;0 days 19:10:00;19.166666666666668;2.7391304347826084
0001;3002;Deux Ruisseaux;weekday;0 days 05:21:00;1 days 00:58:00;105.9;6.0;26.5;12.0;12.0;20.0;19.0;6.0;4.4;0 days 19:37:00;19.616666666666667;5.398470688190314
0001;3002;Deux Ruisseaux;weekend;0 days 06:01:00;1 days 00:58:00;52.5;2.0;7.5;5.5;6.0;12.0;11.0;5.0;4.5;0 days 18:57:00;18.95;2.770448548812665
0001;3006;Chantepie Mairie;weekday;0 days 05:22:40;1 days 00:59:23;105.9;6.0;26.5;12.0;12.0;19.0;20.0;6.0;4.4;0 days 19:36:43;19.611944444444443;5.399770547993712
0001;3006;Chantepie Mairie;weekend;0 days 06:02:40;1 days 00:59:23;52.5;2.0;7.25;5.5;6.25;12.0;11.0;5.0;4.5;0 days 18:56:43;18.94527777777778;2.771139099453103
0001;3007;Loges;weekday;0 days 05:23:58;1 days 01:00:28;105.9;6.0;26.5;12.0;12.0;19.0;20.0;6.0;4.4;0 days 19:36:30;19.608333333333334;5.400764980875478
0001;3007;Loges;weekend;0 days 06:03:58;1 days 01:00:28;52.5;2.0;7.0;5.5;6.5;12.0;11.0;5.0;4.5;0 days 18:56:30;18.941666666666666;2.7716673999120105
0001;3008;Loges;weekday;0 days 06:01:36;1 days 01:52:00;105.4;3.0;19.5;12.0;12.1;17.0;28.4;8.0;5.4;0 days 19:50:24;19.84;5.3125
0001;3008;Loges;weekend;0 days 06:41:36;1 days 01:52:00;52.5;1.0;5.25;5.75;5.5;12.0;12.0;6.0;5.5;0 days 19:10:24;19.173333333333332;2.7381780250347707
0001;3009;Chantepie Mairie;weekday;0 days 06:03:00;1 days 01:53:00;105.4;3.0;19.5;12.0;12.1;17.0;28.4;8.0;5.4;0 days 19:50:00;19.833333333333332;5.314285714285715
0001;3009;Chantepie Mairie;weekend;0 days 06:43:00;1 days 01:53:00;52.5;1.0;5.0;6.0;5.5;12.0;12.0;6.0;5.5;0 days 19:10:00;19.166666666666668;2.7391304347826084
0001;3013;Deux Ruisseaux;weekday;0 days 06:04:00;1 days 01:54:00;105.4;3.0;19.5;12.0;12.1;17.0;28.4;8.0;5.4;0 days 19:50:00;19.833333333333332;5.314285714285715
0001;3013;Deux Ruisseaux;weekend;0 days 06:44:00;1 days 01:54:00;52.5;1.0;5.0;6.0;5.5;11.5;12.5;6.0;5.5;0 days 19:10:00;19.166666666666668;2.7391304347826084
0001;3027;Touche Annette;weekday;0 days 05:19:00;1 days 00:57:00;105.9;6.0;26.5;12.0;12.0;20.0;19.0;6.0;4.4;0 days 19:38:00;19.633333333333333;5.393887945670628
0001;3027;Touche Annette;weekend;0 days 05:59:00;1 days 00:57:00;52.5;2.0;7.5;5.5;6.0;12.0;11.0;5.0;4.5;0 days 18:58:00;18.966666666666665;2.7680140597539546
0001;3028;Rosa Parks;weekday;0 days 05:18:00;1 days 01:56:00;211.3;10.0;44.0;24.0;24.1;37.0;48.4;14.0;9.8;0 days 20:38:00;20.633333333333333;10.240710823909533
0001;3028;Rosa Parks;weekend;0 days 05:58:00;1 days 01:56:00;105.0;3.0;12.5;11.5;11.5;23.5;23.0;11.5;10.0;0 days 19:58:00;19.966666666666665;5.258764607679466
0001;3029;Touche Annette;weekday;0 days 06:06:00;1 days 01:55:25;105.4;3.0;18.5;12.0;12.1;18.0;28.4;8.0;5.4;0 days 19:49:25;19.823611111111113;5.31689203391018
0001;3029;Touche Annette;weekend;0 days 06:46:00;1 days 01:55:25;52.5;1.0;5.0;6.0;5.5;11.5;12.5;6.0;5.5;0 days 19:09:25;19.156944444444445;2.740520553904154
0001;3032;Gériatrie;weekday;0 days 05:20:00;1 days 00:57:26;105.9;6.0;26.5;12.0;12.0;20.0;19.0;6.0;4.4;0 days 19:37:26;19.62388888888889;5.39648387736036
0001;3032;Gériatrie;weekend;0 days 06:00:00;1 days 00:57:26;52.5;2.0;7.5;5.5;6.0;12.0;11.0;5.0;4.5;0 days 18:57:26;18.95722222222222;2.7693930779825924
0001;3037;Chantepie Eglise;weekday;0 days 05:21:53;1 days 00:59:00;105.9;6.0;26.5;12.0;12.0;19.0;20.0;6.0;4.4;0 days 19:37:07;19.61861111111111;5.39793563368117
0001;3037;Chantepie Eglise;weekend;0 days 06:01:53;1 days 00:59:00;52.5;2.0;7.5;5.5;6.0;12.0;11.0;5.0;4.5;0 days 18:57:07;18.951944444444443;2.7701643044542483
0001;3038;Chantepie Eglise;weekday;0 days 06:03:37;1 days 01:53:27;105.4;3.0;19.5;12.0;12.1;17.0;28.4;8.0;5.4;0 days 19:49:50;19.830555555555556;5.315030116262782
0001;3038;Chantepie Eglise;weekend;0 days 06:43:37;1 days 01:53:27;52.5;1.0;5.0;6.0;5.5;11.75;12.25;6.0;5.5;0 days 19:09:50;19.163888888888888;2.739527467748949
0002;2002;Cesson Hôpital Privé;weekday;0 days 05:26:34;1 days 00:58:00;85.4;5.0;17.0;10.0;9.0;17.0;16.0;7.0;4.4;0 days 19:31:26;19.523888888888887;4.374128560453007
0002;2002;Cesson Hôpital Privé;weekend;0 days 06:06:34;1 days 00:58:00;48.0;3.0;7.0;5.5;6.0;10.5;9.0;4.0;4.5;0 days 18:51:26;18.857222222222223;2.545443832307103
0002;2003;Cesson Hôpital Privé;weekday;0 days 06:01:00;1 days 01:51:00;85.4;3.0;15.0;11.0;9.0;15.0;18.0;8.0;6.4;0 days 19:50:00;19.833333333333332;4.305882352941177
0002;2003;Cesson Hôpital Privé;weekend;0 days 06:40:00;1 days 01:51:00;48.5;2.0;5.0;5.5;6.0;10.0;10.0;5.0;6.0;0 days 19:11:00;19.183333333333334;2.528236316246742
0002;2112;Chêne Germain;weekday;0 days 06:02:00;1 days 01:52:00;85.4;3.0;15.0;11.0;9.0;15.0;18.0;8.0;6.4;0 days 19:50:00;19.833333333333332;4.305882352941177
0002;2112;Chêne Germain;weekend;0 days 06:41:00;1 days 01:52:00;48.5;2.0;5.0;5.5;6.0;10.0;10.0;5.0;6.0;0 days 19:11:00;19.183333333333334;2.528236316246742
0002;2113;Chêne Germain;weekday;0 days 05:25:00;1 days 00:56:28;85.4;5.0;17.0;10.0;9.0;17.0;17.0;6.0;4.4;0 days 19:31:28;19.524444444444445;4.374004097427727
0002;2113;Chêne Germain;weekend;0 days 06:05:00;1 days 00:56:28;48.0;3.0;7.0;5.5;6.0;10.5;9.25;3.75;4.5;0 days 18:51:28;18.857777777777777;2.5453688427999057
0002;2131;Cesson - Viasilva;weekday;0 days 05:24:00;1 days 01:53:00;170.8;8.0;32.0;20.0;20.0;31.0;35.0;14.0;10.8;0 days 20:29:00;20.483333333333334;8.338486574450773
0002;2131;Cesson - Viasilva;weekend;0 days 06:04:00;1 days 01:53:00;96.5;4.0;12.5;11.0;12.0;20.5;19.5;8.5;10.5;0 days 19:49:00;19.816666666666666;4.869638351555929
0004;2046;Atalante;weekday;0 days 07:41:00;0 days 08:52:00;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:11:00;1.1833333333333333;3.380281690140845
0004;2121;Longs Champs Est;weekday;0 days 06:03:51;1 days 01:53:00;127.6;4.0;24.0;13.0;15.0;22.0;27.0;9.0;13.6;0 days 19:49:09;19.819166666666668;6.438212168355547
0004;2121;Longs Champs Est;weekend;0 days 05:54:00;1 days 01:53:00;71.5;3.0;7.0;7.0;7.0;14.5;14.75;8.25;11.5;0 days 19:59:00;19.983333333333334;3.5779816513761467
0004;2801;Grand Quartier;weekday;0 days 05:20:00;1 days 01:57:00;251.8;8.0;47.0;28.0;29.0;48.0;49.0;18.0;24.8;0 days 20:37:00;20.616666666666667;12.213419563459984
0004;2801;Grand Quartier;weekend;0 days 06:04:00;1 days 01:57:00;141.5;4.0;15.5;14.0;14.5;29.5;29.0;16.5;20.5;0 days 19:53:00;19.883333333333333;7.116512992455993
0005;1453;Pigeon Blanc;weekday;0 days 05:31:52;1 days 01:21:00;107.4;4.5;24.0;12.0;12.1;21.0;21.0;7.0;5.8;0 days 19:49:08;19.81888888888889;5.419072714021416
0005;1453;Pigeon Blanc;weekend;0 days 06:13:00;1 days 01:21:00;57.5;2.0;7.5;5.5;6.5;13.5;12.5;5.0;6.0;0 days 19:08:00;19.133333333333333;3.005226480836237
0005;2216;Pressoirs;weekday;0 days 05:53:44;1 days 01:46:00;105.8;3.0;21.0;12.0;12.0;19.0;24.0;8.0;6.8;0 days 19:52:16;19.871111111111112;5.324312234399462
0005;2216;Pressoirs;weekend;0 days 06:35:44;1 days 01:46:00;57.5;1.0;6.5;5.5;6.0;13.5;13.0;5.5;7.0;0 days 19:10:16;19.17111111111111;2.9993045090993395
0005;2218;Saint-Yves;weekday;0 days 05:52:00;1 days 01:44:00;105.8;3.0;21.0;12.0;12.0;19.0;25.0;7.0;6.8;0 days 19:52:00;19.866666666666667;5.325503355704698
0005;2218;Saint-Yves;weekend;0 days 06:34:00;1 days 01:44:00;57.5;1.0;6.5;5.5;6.0;13.5;13.0;5.5;7.0;0 days 19:10:00;19.166666666666668;3.0
0005;2219;Pilate;weekday;0 days 05:51:30;1 days 01:43:20;105.8;3.0;21.0;12.0;12.0;20.0;24.0;7.0;6.8;0 days 19:51:50;19.863888888888887;5.326248077192002
0005;2219;Pilate;weekend;0 days 06:33:00;1 days 01:43:20;57.5;1.0;7.0;5.0;6.0;13.5;13.5;5.0;7.0;0 days 19:10:20;19.17222222222222;2.9991306867574616
0005;2228;Pigeon Blanc;weekday;0 days 05:52:52;1 days 01:45:00;105.8;3.0;21.0;12.0;12.0;19.0;24.0;8.0;6.8;0 days 19:52:08;19.86888888888889;5.3249077284420085
0005;2228;Pigeon Blanc;weekend;0 days 06:34:52;1 days 01:45:00;57.5;1.0;6.5;5.5;6.0;13.5;13.0;5.5;7.0;0 days 19:10:08;19.16888888888889;2.9996522142360305
0005;2257;Pressoirs;weekday;0 days 05:30:50;1 days 01:20:00;107.4;5.0;23.5;12.0;12.1;21.0;21.0;7.0;5.8;0 days 19:49:10;19.819444444444443;5.418920812894184
0005;2257;Pressoirs;weekend;0 days 06:12:00;1 days 01:20:00;57.5;2.0;7.5;5.5;6.5;13.5;12.5;5.0;6.0;0 days 19:08:00;19.133333333333333;3.005226480836237
0006;2007;Bourgchevreuil;weekday;0 days 05:17:50;1 days 01:06:00;84.0;4.0;17.5;10.0;10.1;16.0;17.0;6.0;3.4;0 days 19:48:10;19.802777777777777;4.241829148548184
